Lens ID,Jurisdiction,Document Type,Legal Status,Application Number,Family Member Lens IDs,Family Member Jurisdictions,Family Member Application Numbers,Family Member Document Types,Family Member Legal Statuses
030-909-745-826-425,WO,Search Report,PENDING,IB 2023060487 W,076-559-611-343-411||188-770-479-328-226,TW||WO,TW 112139681 A||IB 2023060487 W,Patent of Addition||Patent Application,PENDING||PENDING
178-586-501-495-731,WO,Patent Application,PENDING,GB 2016050249 W,073-949-323-931-23X||114-692-013-333-378,EP||GB,EP 16704045 A||GB 201501800 A,Patent Application||Patent Application,DISCONTINUED||DISCONTINUED
011-107-646-947-180,CN,Patent Application,ACTIVE,CN 201510594293 A,082-173-409-133-360||157-163-453-079-330||037-179-724-443-292||113-069-062-743-508,US||WO||CN||US,US 201615760715 A||CN 2016099059 W||CN 201510594293 A||US 201615760715 A,Granted Patent||Patent Application||Granted Patent||Patent Application,ACTIVE||PENDING||ACTIVE||ACTIVE
067-683-818-690-631,WO,Patent Application,PENDING,US 0022200 W,060-263-122-296-171||081-177-562-922-114,US||AU,US 37332999 A||AU 2000/065390 A,Granted Patent||Patent Application,EXPIRED||DISCONTINUED
103-358-858-243-232,US,Patent Application,PENDING,US 202218291069 A,163-804-507-913-277||143-706-946-716-879||064-379-224-805-344||130-557-687-751-187||129-441-225-025-973||031-690-143-868-487,EP||EP||CN||WO||JP||CA,EP 22844792 A||EP 22844792 A||CN 202280064441 A||CA 2022051139 W||JP 2024527718 A||CA 3226847 A,Search Report||Patent Application||Patent Application||Patent Application||Patent Application||Patent Application,PENDING||PENDING||PENDING||PENDING||PENDING||PENDING
006-563-708-741-988,CN,Patent Application,PENDING,CN 201810219179 A,,,,,
074-254-456-669-584,TW,Patent of Addition,PENDING,TW 112139684 A,131-855-641-931-635||084-989-443-579-184,WO||WO,IB 2023060484 W||IB 2023060484 W,Patent Application||Search Report,PENDING||PENDING
182-555-087-983-66X,WO,Patent Application,PENDING,US 2017/0042125 W,101-192-375-301-709||034-067-376-294-060,US||US,US 201716315684 A||US 201716315684 A,Granted Patent||Patent Application,INACTIVE||INACTIVE
130-365-677-163-529,CA,Granted Patent,EXPIRED,CA 2476696 A,174-491-520-461-521||198-026-015-189-237||149-127-778-238-83X||072-793-888-121-416||079-711-685-033-611||187-552-353-358-604||122-715-342-799-063||145-852-316-462-614||068-440-592-298-601||093-431-656-669-574||107-315-550-992-451||178-592-190-851-938||026-196-660-109-003||196-798-389-589-902||091-854-606-511-316,US||JP||AU||EP||EP||IL||US||ES||AU||CA||US||EP||WO||WO||IL,US 8718802 A||JP 2003572358 A||AU 2003/225615 A||EP 03743713 A||EP 03743713 A||IL 16358804 A||US 8718802 A||ES 03743713 T||AU 2003/225615 A||CA 2476696 A||US 50454405 A||EP 03743713 A||US 0306038 W||US 0306038 W||IL 16358803 A,Patent Application||Patent Application||Patent Application||Search Report||Granted Patent||Patent Application||Granted Patent||Granted Patent||Granted Patent||Patent Application||Patent Application||Patent Application||Patent Application||Search Report||Patent Application,EXPIRED||DISCONTINUED||EXPIRED||EXPIRED||EXPIRED||DISCONTINUED||EXPIRED||EXPIRED||EXPIRED||EXPIRED||DISCONTINUED||EXPIRED||PENDING||PENDING||EXPIRED
064-465-280-306-989,KR,Patent Application,ACTIVE,KR 20120000742 A,025-549-999-766-680,KR,KR 20120000742 A,Granted Patent,ACTIVE
187-562-394-432-283,KR,Granted Patent,ACTIVE,KR 20210017914 A,,,,,
120-567-891-946-623,RO,Limited Patent,EXPIRED,RO 13715388 A,146-736-877-999-938,RO,RO 13715388 A,Unknown,EXPIRED
060-986-725-191-490,RU,Granted Patent,INACTIVE,RU 2013121421 A,,,,,
003-014-931-281-805,US,Patent Application,PENDING,US 202118257143 A,076-351-991-661-477||034-535-719-027-576||163-313-139-834-949||060-751-595-952-741,JP||EP||EP||WO,JP 2022570052 A||EP 21906683 A||EP 21906683 A||JP 2021046462 W,Unknown||Search Report||Patent Application||Patent Application,PENDING||PENDING||PENDING||PENDING
190-206-184-890-769,CA,Patent Application,PENDING,CA 2913402 A,198-422-027-039-724||119-513-687-041-203||164-612-404-108-662||090-041-662-693-412||032-718-049-370-461||063-156-630-381-773||122-042-947-666-446||120-668-821-913-861||144-052-200-183-654||142-244-880-364-494,JP||GB||ES||EP||EP||WO||WO||JP||CA||US,JP 2016517686 A||GB 201310150 A||ES 14733678 T||EP 14733678 A||EP 14733678 A||GB 2014051758 W||GB 2014051758 W||JP 2016517686 A||CA 2913402 A||US 201414896018 A,Granted Patent||Patent Application||Granted Patent||Patent Application||Granted Patent||Search Report||Patent Application||Patent Application||Granted Patent||Patent Application,ACTIVE||DISCONTINUED||ACTIVE||ACTIVE||ACTIVE||PENDING||PENDING||ACTIVE||PENDING||PENDING
042-759-343-125-09X,WO,Search Report,PENDING,GB 9903631 W,032-840-002-151-981||143-298-975-124-688||139-456-514-582-869||019-766-134-960-760||003-081-568-736-261||012-317-133-526-745||160-349-420-846-541||052-772-582-287-642,EP||GB||WO||AU||US||CA||JP||EP,EP 99954134 A||GB 9823975 A||GB 9903631 W||AU 2000/010572 A||US 84753901 A||CA 2348421 A||JP 2000579627 A||EP 99954134 A,Search Report||Patent Application||Patent Application||Patent Application||Patent Application||Patent Application||Patent Application||Patent Application,DISCONTINUED||DISCONTINUED||PENDING||DISCONTINUED||DISCONTINUED||DISCONTINUED||PENDING||DISCONTINUED
184-091-427-427-054,WO,Patent Application,PENDING,EP 2017084007 W,,,,,
083-052-810-370-384,US,Patent Application,DISCONTINUED,US 74870303 A,,,,,
173-830-664-749-150,WO,Patent Application,PENDING,AU 2017/051399 W,,,,,
053-307-845-845-54X,US,Granted Patent,EXPIRED,US 64444200 A,070-378-749-817-172||003-937-630-010-206||020-925-290-868-975,WO||WO||AU,US 0023145 W||US 0023145 W||AU 2000/069295 A,Patent Application||Patent Application||Patent Application,PENDING||PENDING||DISCONTINUED
